2019-04-12 21:17:10,575 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-04-12 21:18:23,321 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.danilo:project01:0.0.1-SNAPSHOT @ T:\Usuarios\INFORMATICA\1B MODULAR NOITE\antonyo e danilo\T`P\project01\pom.xml.
2019-04-12 21:18:26,384 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /project01/src/main/java
2019-04-12 21:18:26,387 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /project01/src/main/resources
2019-04-12 21:18:26,389 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /project01/src/test/java
2019-04-12 21:18:26,392 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /project01/src/test/resources
2019-04-12 21:18:30,683 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-12 21:18:30,695 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-12 21:18:30,699 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-12 21:18:30,712 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-12 21:22:25,986 [Worker-13] INFO  o.e.m.i.launch.MavenLaunchDelegate - T:\Usuarios\INFORMATICA\1B MODULAR NOITE\antonyo e danilo\T`P\project01
2019-04-12 21:22:25,989 [Worker-13] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B test
2019-04-12 21:22:29,671 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-12 21:22:29,688 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
